iter	Passed	Remaining
0	169	169135
1	171	85436
2	172	57425
3	174	43475
4	176	35218
5	178	29602
6	180	25606
7	182	22617
8	183	20251
9	185	18361
10	186	16802
11	188	15489
12	189	14386
13	190	13431
14	191	12584
15	192	11844
16	193	11192
17	194	10614
18	195	10080
19	195	9601
20	196	9167
21	197	8773
22	198	8412
23	198	8081
24	199	7775
25	199	7489
26	200	7224
27	201	6978
28	201	6748
29	202	6533
30	202	6333
31	203	6146
32	203	5971
33	204	5806
34	204	5651
35	205	5503
36	206	5364
37	206	5233
38	207	5107
39	207	4987
40	208	4874
41	209	4768
42	209	4666
43	210	4568
44	210	4473
45	211	4383
46	211	4297
47	212	4214
48	213	4136
49	213	4062
50	214	3989
51	214	3919
52	215	3852
53	216	3787
54	216	3724
55	217	3669
56	218	3612
57	219	3559
58	219	3504
59	220	3450
60	220	3398
61	221	3348
62	221	3299
63	222	3259
64	223	3214
65	224	3171
66	224	3128
67	224	3083
68	225	3042
69	226	3003
70	226	2965
71	227	2927
72	227	2891
73	228	2855
74	228	2821
75	229	2787
76	229	2754
77	230	2722
78	230	2691
79	231	2662
80	232	2633
81	232	2604
82	233	2577
83	233	2549
84	234	2520
85	234	2494
86	235	2466
87	235	2441
88	236	2416
89	236	2392
90	237	2369
91	237	2346
92	238	2324
93	238	2302
94	239	2280
95	239	2259
96	240	2238
97	240	2218
98	241	2198
99	242	2178
100	242	2159
101	242	2138
102	243	2119
103	243	2101
104	244	2083
105	245	2066
106	245	2050
107	246	2033
108	246	2017
109	247	2001
110	247	1985
111	248	1970
112	249	1954
113	249	1939
114	250	1924
115	250	1908
116	251	1894
117	251	1880
118	251	1865
119	252	1851
120	253	1838
121	253	1825
122	253	1810
123	254	1797
124	254	1784
125	255	1772
126	256	1759
127	256	1746
128	256	1734
129	257	1722
130	257	1711
131	258	1700
132	259	1688
133	259	1678
134	260	1668
135	260	1657
136	261	1648
137	262	1637
138	262	1627
139	263	1618
140	264	1608
141	264	1599
142	265	1590
143	266	1581
144	266	1572
145	267	1563
146	268	1555
147	268	1546
148	269	1537
149	269	1529
150	270	1520
151	271	1512
152	271	1504
153	272	1495
154	272	1487
155	273	1479
156	274	1472
157	274	1464
158	275	1456
159	276	1449
160	276	1441
161	277	1434
162	277	1427
163	278	1420
164	279	1413
165	280	1408
166	281	1402
167	281	1396
168	282	1389
169	283	1383
170	283	1376
171	284	1369
172	285	1363
173	285	1356
174	286	1350
175	287	1344
176	287	1337
177	288	1331
178	288	1325
179	289	1319
180	289	1311
181	290	1305
182	291	1299
183	291	1293
184	292	1287
185	292	1281
186	293	1275
187	294	1270
188	294	1264
189	295	1259
190	295	1253
191	296	1248
192	297	1242
193	297	1237
194	298	1232
195	299	1227
196	299	1222
197	300	1217
198	301	1212
199	301	1207
200	302	1202
201	302	1196
202	303	1191
203	304	1186
204	304	1181
205	305	1176
206	305	1171
207	306	1166
208	306	1161
209	307	1156
210	307	1151
211	308	1146
212	309	1141
213	309	1137
214	310	1132
215	310	1128
216	311	1123
217	312	1119
218	312	1114
219	313	1110
220	314	1106
221	314	1102
